work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,experience_rating,country,salary_in_aud,cost_of_living
2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M,3,United States of America,195665,104.1
2023,SE,FT,Data Strategist,90000,USD,90000,CA,0,CA,M,3,Canada,135460,87.0
2023,SE,FT,Data Strategist,72000,USD,72000,CA,0,CA,M,3,Canada,108368,87.0
2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M,3,United States of America,381095,104.1
2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,M,3,United States of America,136514,104.1
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M,3,United States of America,515969,104.1
2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M,3,United States of America,277829,104.1
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,2,United States of America,244581,104.1
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,2,United States of America,195665,104.1
2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M,2,United States of America,158609,104.1
2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M,2,United States of America,97080,104.1
2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,L,1,Nigeria,150511,55.3
2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,L,1,Nigeria,45153,55.3
2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L,1,United States of America,307977,104.1
2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L,1,United States of America,166586,104.1
2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M,3,United States of America,407439,104.1
2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M,3,United States of America,333359,104.1
2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M,3,United States of America,320213,104.1
2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M,3,United States of America,278446,104.1
2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M,3,United States of America,394340,104.1
2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M,3,United States of America,368753,104.1
2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M,3,United States of America,414358,104.1
2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M,3,United States of America,276189,104.1
2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M,3,United States of America,328868,104.1
2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M,3,United States of America,299665,104.1
2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M,3,United States of America,305990,104.1
2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,M,3,United States of America,186032,104.1
2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M,3,United States of America,284632,104.1
2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M,3,United States of America,209211,104.1
2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M,4,United States of America,389449,104.1
2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M,4,United States of America,278446,104.1
2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M,3,United States of America,348434,104.1
2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M,3,United States of America,249849,104.1
2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M,3,United States of America,259632,104.1
2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M,3,United States of America,166315,104.1
2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M,3,United States of America,358217,104.1
2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M,3,United States of America,264900,104.1
2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M,3,United States of America,356712,104.1
2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M,3,United States of America,303205,104.1
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,3,United States of America,465683,104.1
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,3,United States of America,239464,104.1
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,3,United States of America,173088,104.1
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,3,United States of America,122667,104.1
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M,3,United States of America,356712,104.1
2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M,3,United States of America,303205,104.1
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M,3,United States of America,421432,104.1
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M,3,United States of America,316074,104.1
2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M,3,United States of America,421583,104.1
2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M,3,United States of America,253010,104.1
2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M,3,United States of America,291240,104.1
2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M,3,United States of America,209211,104.1
2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,L,2,Hong Kong,97925,123.0
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M,3,Portugal,225767,58.9
2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,S,2,India,104983,24.7
2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,L,2,"Netherlands, Kingdom of the",145361,89.3
2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,US,0,US,M,3,United States of America,279801,104.1
2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,US,0,US,M,3,United States of America,194611,104.1
2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M,3,United States of America,338651,104.1
2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,3,United States of America,263395,104.1
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,3,United States of America,278446,104.1
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,3,United States of America,210716,104.1
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,3,Spain,72680,63.4
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,3,Spain,58144,63.4
2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M,3,United States of America,158037,104.1
2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M,3,United States of America,105358,104.1
2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M,1,United States of America,245629,104.1
2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,M,1,United States of America,219574,104.1
2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,M,3,United States of America,326610,104.1
2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M,3,United States of America,278446,104.1
2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L,3,United States of America,305237,104.1
2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L,3,United States of America,156983,104.1
2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M,3,United States of America,218242,104.1
2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M,3,United States of America,97832,104.1
2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,3,United States of America,248344,104.1
2023,SE,FT,Data Engineer,132300,USD,132300,US,0,US,M,3,United States of America,199127,104.1
2023,SE,FT,Data Engineer,179170,USD,179170,US,0,US,M,3,United States of America,269671,104.1
2023,SE,FT,Data Engineer,94300,USD,94300,US,0,US,M,3,United States of America,141932,104.1
2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M,3,United States of America,229530,104.1
2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M,3,United States of America,175270,104.1
2023,SE,FT,Data Engineer,247300,USD,247300,US,0,US,M,3,United States of America,372215,104.1
2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,M,3,United States of America,201384,104.1
2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M,3,United States of America,305538,104.1
2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,M,3,United States of America,200180,104.1
2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L,1,United States of America,331125,104.1
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,3,United States of America,225767,104.1
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,3,United States of America,180614,104.1
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,3,United States of America,436183,104.1
2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,M,3,United States of America,322095,104.1
2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M,3,United States of America,270650,104.1
2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M,3,United States of America,216526,104.1
2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,M,3,United States of America,426249,104.1
2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M,3,United States of America,284166,104.1
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,3,United States of America,436183,104.1
2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M,3,United States of America,322396,104.1
2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M,3,United States of America,279801,104.1
2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M,3,United States of America,194611,104.1
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M,3,United States of America,379289,104.1
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M,3,United States of America,194160,104.1
2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M,2,United States of America,233293,104.1
2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M,2,United States of America,210716,104.1
2023,SE,FT,Data Engineer,161800,USD,161800,US,100,US,M,3,United States of America,243527,104.1
2023,SE,FT,Data Engineer,141600,USD,141600,US,100,US,M,3,United States of America,213124,104.1
2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,L,3,United States of America,515201,104.1
2023,SE,FT,Machine Learning Engineer,176100,USD,176100,US,0,US,L,3,United States of America,265051,104.1
2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,2,United States of America,150511,104.1
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,2,United States of America,105358,104.1
2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,1,United States of America,127934,104.1
2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,1,United States of America,97832,104.1
2023,SE,FT,Data Scientist,138784,USD,138784,US,100,US,M,3,United States of America,208886,104.1
2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,M,3,United States of America,125331,104.1
2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M,1,United States of America,112883,104.1
2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M,1,United States of America,105358,104.1
2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,M,3,United States of America,307796,104.1
2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,M,3,United States of America,209060,104.1
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M,3,United States of America,479078,104.1
2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,M,3,United States of America,319385,104.1
2023,SE,FT,Data Engineer,95000,USD,95000,US,100,US,M,3,United States of America,142986,104.1
2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M,3,United States of America,112883,104.1
2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,3,United States of America,293497,104.1
2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,3,United States of America,240818,104.1
2023,SE,FT,Analytics Engineer,230000,USD,230000,US,0,US,M,3,United States of America,346177,104.1
2023,SE,FT,Analytics Engineer,143200,USD,143200,US,0,US,M,3,United States of America,215532,104.1
2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,2,United States of America,150511,104.1
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,2,United States of America,105358,104.1
2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,L,2,United States of America,158037,104.1
2023,MI,FT,Applied Data Scientist,1700000,INR,20670,IN,100,IN,L,2,India,31110,24.7
2023,MI,FT,Data Analyst,38000,GBP,46178,GB,0,GB,M,2,United Kingdom of Great Britain and Northern Ireland,69503,80.5
2023,MI,FT,Data Analyst,35000,GBP,42533,GB,0,GB,M,2,United Kingdom of Great Britain and Northern Ireland,64017,80.5
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,3,United States of America,218242,104.1
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,3,United States of America,173088,104.1
2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,M,3,United States of America,253461,104.1
2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,M,3,United States of America,158338,104.1
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,3,United States of America,465683,104.1
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,3,United States of America,239464,104.1
2023,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,M,3,United States of America,285972,104.1
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M,3,United States of America,225767,104.1
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,2,United States of America,244581,104.1
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,2,United States of America,195665,104.1
2023,SE,FT,Analytics Engineer,150000,USD,150000,US,100,US,M,3,United States of America,225767,104.1
2023,SE,FT,Analytics Engineer,120000,USD,120000,US,100,US,M,3,United States of America,180614,104.1
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,3,United States of America,218242,104.1
2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M,3,United States of America,180614,104.1
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,3,United States of America,334437,104.1
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,3,United States of America,204695,104.1
2023,SE,FT,Data Engineer,241000,USD,241000,US,0,US,M,3,United States of America,362733,104.1
2023,SE,FT,Data Engineer,155000,USD,155000,US,0,US,M,3,United States of America,233293,104.1
2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,3,United States of America,331125,104.1
2023,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M,3,United States of America,285972,104.1
2023,MI,FT,Data Scientist,55000,GBP,66837,GB,0,GB,M,2,United Kingdom of Great Britain and Northern Ireland,100597,80.5
2023,MI,FT,Data Scientist,45000,GBP,54685,GB,0,GB,M,2,United Kingdom of Great Britain and Northern Ireland,82307,80.5
2023,MI,FT,ETL Engineer,70000,GBP,85066,GB,100,GB,M,2,United Kingdom of Great Britain and Northern Ireland,128034,80.5
2023,MI,FT,ETL Engineer,47500,GBP,57723,GB,100,GB,M,2,United Kingdom of Great Britain and Northern Ireland,86879,80.5
2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M,1,United States of America,127934,104.1
2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M,1,United States of America,112883,104.1
2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,3,United States of America,240818,104.1
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,3,United States of America,210716,104.1
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M,2,United States of America,451535,104.1
2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M,2,United States of America,376279,104.1
2023,SE,FT,Data Scientist,228000,USD,228000,US,0,US,M,3,United States of America,343166,104.1
2023,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M,3,United States of America,279951,104.1
2023,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M,3,United States of America,285972,104.1
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,3,United States of America,255869,104.1
2023,MI,FT,Research Engineer,230000,USD,230000,US,0,US,M,2,United States of America,346177,104.1
2023,MI,FT,Research Engineer,200000,USD,200000,US,0,US,M,2,United States of America,301023,104.1
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M,3,United States of America,270921,104.1
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,3,United States of America,173088,104.1
2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,M,3,United States of America,301023,104.1
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,3,United States of America,173088,104.1
2023,SE,FT,Data DevOps Engineer,50000,EUR,53654,FR,50,FR,S,3,France,80755,82.0
2023,EX,FT,Data Engineer,220000,USD,220000,US,0,US,M,4,United States of America,331125,104.1
2023,EX,FT,Data Engineer,205000,USD,205000,US,0,US,M,4,United States of America,308549,104.1
2023,MI,FT,Data Engineer,180000,USD,180000,US,0,US,M,2,United States of America,270921,104.1
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,2,United States of America,195665,104.1
2023,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M,3,United States of America,301023,104.1
2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,3,United States of America,225767,104.1
2023,SE,FT,Computer Vision Engineer,215000,USD,215000,US,0,US,M,3,United States of America,323600,104.1
2023,SE,FT,Computer Vision Engineer,170000,USD,170000,US,0,US,M,3,United States of America,255869,104.1
2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M,3,United States of America,372516,104.1
2023,SE,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,M,3,United States of America,259181,104.1
2023,SE,FT,Data Scientist,224000,USD,224000,CA,0,CA,M,3,Canada,337146,87.0
2023,SE,FT,Data Scientist,176000,USD,176000,CA,0,CA,M,3,Canada,264900,87.0
2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M,3,United States of America,180614,104.1
2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M,3,United States of America,112883,104.1
2023,EN,FT,Data Engineer,1400000,INR,17022,IN,100,IN,L,1,India,25620,24.7
2023,SE,FT,Applied Data Scientist,100000,AUD,68318,AU,100,FI,M,3,Australia,102826,100.0
2023,MI,FT,AI Developer,100000,SGD,75020,FI,0,FI,M,2,Finland,112913,79.4
2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M,3,United States of America,210716,104.1
2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M,3,United States of America,180614,104.1
2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M,3,United States of America,192655,104.1
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,3,United States of America,122667,104.1
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,3,United States of America,218242,104.1
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,3,United States of America,173088,104.1
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,3,United States of America,278446,104.1
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,3,United States of America,210716,104.1
2023,EX,FT,Head of Data,329500,USD,329500,US,0,US,M,4,United States of America,495936,104.1
2023,EX,FT,Head of Data,269600,USD,269600,US,0,US,M,4,United States of America,405779,104.1
2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M,3,United States of America,150511,104.1
2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M,3,United States of America,120409,104.1
2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M,3,United States of America,376279,104.1
2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,M,3,United States of America,244581,104.1
2023,MI,FT,AI Developer,200000,USD,200000,US,100,US,M,2,United States of America,301023,104.1
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,3,United States of America,218242,104.1
2023,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M,3,United States of America,150511,104.1
2023,EX,FT,Data Engineer,145000,USD,145000,US,0,US,M,4,United States of America,218242,104.1
2023,EX,FT,Data Engineer,115000,USD,115000,US,0,US,M,4,United States of America,173088,104.1
2023,SE,FT,Data Scientist,203500,USD,203500,US,0,US,M,3,United States of America,306291,104.1
2023,SE,FT,Data Scientist,152000,USD,152000,US,0,US,M,3,United States of America,228777,104.1
2023,SE,FT,Data Scientist,239000,USD,239000,US,0,US,L,3,United States of America,359723,104.1
2023,SE,FT,Data Scientist,122900,USD,122900,US,0,US,L,3,United States of America,184978,104.1
2023,SE,FT,Data Scientist,237000,USD,237000,US,0,US,M,3,United States of America,356712,104.1
2023,SE,FT,Data Scientist,145000,USD,145000,US,0,US,M,3,United States of America,218242,104.1
2023,SE,FT,Data Science Manager,191765,USD,191765,US,0,US,M,3,United States of America,288628,104.1
2023,SE,FT,Data Science Manager,134236,USD,134236,US,0,US,M,3,United States of America,202040,104.1
2023,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,M,3,United States of America,285972,104.1
2023,SE,FT,Analytics Engineer,112000,USD,112000,US,100,US,M,3,United States of America,168573,104.1
2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,1,United States of America,127934,104.1
2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,1,United States of America,97832,104.1
2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M,3,United States of America,203190,104.1
2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M,3,United States of America,158789,104.1
2023,SE,FT,Research Engineer,293000,USD,293000,US,0,US,M,3,United States of America,440999,104.1
2023,SE,FT,Research Engineer,185000,USD,185000,US,0,US,M,3,United States of America,278446,104.1
2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M,3,United States of America,120409,104.1
2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M,3,United States of America,105358,104.1
2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,3,United States of America,331125,104.1
2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M,3,United States of America,240818,104.1
2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,3,United States of America,263395,104.1
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M,3,United States of America,218242,104.1
2023,SE,FT,Data Analyst,200000,USD,200000,US,0,US,M,3,United States of America,301023,104.1
2023,SE,FT,Data Analyst,148500,USD,148500,US,0,US,M,3,United States of America,223509,104.1
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,3,Spain,72680,63.4
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,3,Spain,58144,63.4
2023,SE,FT,Data Engineer,240500,USD,240500,US,0,US,L,3,United States of America,361980,104.1
2023,SE,FT,Data Engineer,123700,USD,123700,US,0,US,L,3,United States of America,186183,104.1
2023,SE,FT,Analytics Engineer,152900,USD,152900,US,100,US,M,3,United States of America,230132,104.1
2023,SE,FT,Analytics Engineer,117100,USD,117100,US,100,US,M,3,United States of America,176249,104.1
2023,SE,FT,Analytics Engineer,173000,USD,173000,US,100,US,M,3,United States of America,260385,104.1
2023,SE,FT,Analytics Engineer,113000,USD,113000,US,100,US,M,3,United States of America,170078,104.1
2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L,3,United States of America,391330,104.1
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,3,United States of America,204695,104.1
2023,EX,FT,Data Engineer,175000,USD,175000,US,0,US,M,4,United States of America,263395,104.1
2023,EX,FT,Data Engineer,110000,USD,110000,US,0,US,M,4,United States of America,165562,104.1
2023,SE,FT,Applied Scientist,260000,USD,260000,US,0,US,L,3,United States of America,391330,104.1
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,3,United States of America,204695,104.1
2023,SE,FT,Research Scientist,130000,USD,130000,US,100,US,M,3,United States of America,195665,104.1
2023,SE,FT,Research Scientist,110000,USD,110000,US,100,US,M,3,United States of America,165562,104.1
2023,SE,FT,Applied Scientist,205000,USD,205000,US,100,US,M,3,United States of America,308549,104.1
2023,SE,FT,Applied Scientist,184000,USD,184000,US,100,US,M,3,United States of America,276941,104.1
2023,SE,FT,Data Analyst,149500,USD,149500,US,100,US,M,3,United States of America,225015,104.1
2023,SE,FT,Data Analyst,127075,USD,127075,US,100,US,M,3,United States of America,191262,104.1
2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,3,United States of America,293497,104.1
2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,3,United States of America,240818,104.1
2023,SE,FT,Data Engineer,219535,USD,219535,US,100,US,M,3,United States of America,330425,104.1
2023,SE,FT,Data Engineer,146115,USD,146115,US,100,US,M,3,United States of America,219920,104.1
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,3,United States of America,255869,104.1
2023,SE,FT,Data Scientist,135000,USD,135000,US,0,US,M,3,United States of America,203190,104.1
2023,SE,FT,Data Scientist,175000,USD,175000,US,100,US,M,3,United States of America,263395,104.1
2023,SE,FT,Data Scientist,145000,USD,145000,US,100,US,M,3,United States of America,218242,104.1
